title,author,publisher,pubdate,detail_url,img_url,topic,price,sale_price,rating,desc,판매지수,pubdate,author
토막 난 우주를 안고서,"6월의 주목도서 +  초판본 책모양 에코백 (이벤트 도서 포함 국내서 2만원 이상) [국내도서] 토막 난 우주를 안고서 - 한국과학문학상 대표작가 앤솔러지 Choice 김초엽 , 천선란 , 김혜윤 , 청예 , 조서월 (지은이)",허블,"2025년 6월 17,000 원 → 15,300원 ( 10% 할인),  마일리지 850 원 10.0 ( 6 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365275059,,인공지능,,15300.0,10.0,,,2025-06-01,"6월의 주목도서 +  초판본 책모양 에코백 (이벤트 도서 포함 국내서 2만원 이상) [국내도서] 토막 난 우주를 안고서 - 한국과학문학상 대표작가 앤솔러지 Choice 김초엽 , 천선란 , 김혜윤 , 청예 , 조서월 (지은이)"
야간비행 (먼슬리 클래식),"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 야간비행 (먼슬리 클래식) ㅣ 먼슬리 클래식 6 앙투안 드 생텍쥐페리 (지은이), 용경식 (옮긴이)",문학동네,"2025년 6월 10,000 원 → 9,000원 ( 10% 할인),  마일리지 500 원 8.0 ( 20 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365712600,,인공지능,,9000.0,8.0,,,2025-06-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 야간비행 (먼슬리 클래식) ㅣ 먼슬리 클래식 6 앙투안 드 생텍쥐페리 (지은이), 용경식 (옮긴이)"
위버멘쉬,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 위버멘쉬 - 누구의 시선도 아닌, 내 의지대로 살겠다는 선언 프리드리히 니체 (지은이), 어나니머스 (옮긴이)",RISE(떠오름),"2025년 3월 17,800 원 → 16,020원 ( 10% 할인),  마일리지 890 원 9.8 ( 145 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=359025448,,인공지능,,16020.0,9.8,,,2025-03-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 위버멘쉬 - 누구의 시선도 아닌, 내 의지대로 살겠다는 선언 프리드리히 니체 (지은이), 어나니머스 (옮긴이)"
인생을 바꾸는 이메일 쓰기,키캡 키링 2종(택1) [국내도서] 인생을 바꾸는 이메일 쓰기 이슬아 (지은이),이야기장수,"2025년 6월 17,800 원 → 16,020원 ( 10% 할인),  마일리지 890 원 10.0 ( 3 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=364982915,,인공지능,,16020.0,10.0,,,2025-06-01,키캡 키링 2종(택1) [국내도서] 인생을 바꾸는 이메일 쓰기 이슬아 (지은이)
지뢰 글리코,"S칩 키링(대상도서 포함 소설/시/희곡 2만 원 이상 구매 시 선택) [국내도서] 지뢰 글리코 아오사키 유고 (지은이), 김은모 (옮긴이)",리드비,"2025년 6월 18,200 원 → 16,380원 ( 10% 할인),  마일리지 910 원 10.0 ( 5 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365887031,,인공지능,,16380.0,10.0,,,2025-06-01,"S칩 키링(대상도서 포함 소설/시/희곡 2만 원 이상 구매 시 선택) [국내도서] 지뢰 글리코 아오사키 유고 (지은이), 김은모 (옮긴이)"
워런 버핏 웨이,"대단한 책 6월 + 패브릭 독서대 (대상도서 포함 국내도서 3만원 이상 구매 시) [국내도서] 워런 버핏 웨이 로버트 해그스트롬 (지은이), 신용우 (옮긴이)",상상스퀘어,"2025년 5월 33,000 원 → 29,700원 ( 10% 할인),  마일리지 1,650 원 10.0 ( 3 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=363738777,,인공지능,,29700.0,10.0,,,2025-05-01,"대단한 책 6월 + 패브릭 독서대 (대상도서 포함 국내도서 3만원 이상 구매 시) [국내도서] 워런 버핏 웨이 로버트 해그스트롬 (지은이), 신용우 (옮긴이)"
부동산 투자 황금 로드맵,김사부의 투자처 BEST 7 책자 [국내도서] 부동산 투자 황금 로드맵 - 부의 초격차를 만드는 레버리지 투자 시스템 Choice 김원철 (지은이),다산북스,"2025년 6월 25,000 원 → 22,500원 ( 10% 할인),  마일리지 1,250 원 9.5 ( 4 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365732544,,인공지능,,22500.0,9.5,,,2025-06-01,김사부의 투자처 BEST 7 책자 [국내도서] 부동산 투자 황금 로드맵 - 부의 초격차를 만드는 레버리지 투자 시스템 Choice 김원철 (지은이)
"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상","데스크 매트.북엔드.클립보드 등(공무원.자격증.외국어.컴퓨터 구매 금액별 사은품) [국내도서] 2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 - 한국사능력검정시험 심화(1, 2, 3급)에 대비한 맞춤 기본서 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈 최태성 (지은이)",이투스북,"2024년 12월 16,500 원 → 14,850원 ( 10% 할인),  마일리지 820 원 9.6 ( 5 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353981757,,인공지능,,14850.0,9.6,,,2024-12-01,"데스크 매트.북엔드.클립보드 등(공무원.자격증.외국어.컴퓨터 구매 금액별 사은품) [국내도서] 2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 - 한국사능력검정시험 심화(1, 2, 3급)에 대비한 맞춤 기본서 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈 최태성 (지은이)"
초역 부처의 말,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 초역 부처의 말 - 2500년 동안 사랑받은 코이케 류노스케 (지은이), 박재현 (옮긴이)",포레스트북스,"2024년 5월 17,800 원 → 16,020원 ( 10% 할인),  마일리지 890 원 8.6 ( 47 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339737027,,인공지능,,16020.0,8.6,,,2024-05-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 초역 부처의 말 - 2500년 동안 사랑받은 코이케 류노스케 (지은이), 박재현 (옮긴이)"
미지의 서울 세트 - 전2권,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 미지의 서울 세트 - 전2권 - 이강 대본집 이강 (지은이)",Birdbox,"2025년 7월 46,000 원 → 41,400원 ( 10% 할인),  마일리지 2,300 원 10.0 ( 1 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366174798,,인공지능,,41400.0,10.0,,,2025-07-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 미지의 서울 세트 - 전2권 - 이강 대본집 이강 (지은이)"
